health_zone,date,value
Mongbwalu,14/05/2026,0
Mongbwalu,15/05/2026,0
Rwampara,15/05/2026,13
Bunia,15/05/2026,0
Mongbwalu,18/05/2026,1
Rwampara,18/05/2026,19
Bunia,18/05/2026,6
Nyankunde,18/05/2026,4
Goma,18/05/2026,1
Katwa,18/05/2026,1
Butembo,18/05/2026,1
Mongbwalu,19/05/2026,13
Rwampara,19/05/2026,25
Bunia,19/05/2026,6
Nyankunde,19/05/2026,4
Goma,19/05/2026,1
Katwa,19/05/2026,1
Butembo,19/05/2026,1
Mongbwalu,20/05/2026,13
Rwampara,20/05/2026,24
Bunia,20/05/2026,11
Nyankunde,20/05/2026,5
Goma,20/05/2026,1
Katwa,20/05/2026,1
Butembo,20/05/2026,1
Bambu,20/05/2026,1
Mongbwalu,21/05/2026,14
Rwampara,21/05/2026,31
Bunia,21/05/2026,15
Nyankunde,21/05/2026,11
Goma,21/05/2026,1
Katwa,21/05/2026,1
Butembo,21/05/2026,2
Bambu,21/05/2026,1
Nizi,21/05/2026,1
Kilo,21/05/2026,1
Miti Murhesa,21/05/2026,1
Mongbwalu,22/05/2026,10
Rwampara,22/05/2026,32
Bunia,22/05/2026,23
Nyankunde,22/05/2026,9
Goma,22/05/2026,1
Katwa,22/05/2026,0
Butembo,22/05/2026,2
Bambu,22/05/2026,1
Nizi,22/05/2026,2
Kilo,22/05/2026,1
Miti Murhesa,22/05/2026,1
Aru,22/05/2026,1
Mongbwalu,23/05/2026,19
Rwampara,23/05/2026,32
Bunia,23/05/2026,24
Nyankunde,23/05/2026,9
Goma,23/05/2026,1
Katwa,23/05/2026,4
Butembo,23/05/2026,1
Bambu,23/05/2026,0
Nizi,23/05/2026,2
Kilo,23/05/2026,1
Miti Murhesa,23/05/2026,1
Aru,23/05/2026,1
Mongbwalu,24/05/2026,19
Rwampara,24/05/2026,32
Bunia,24/05/2026,24
Nyankunde,24/05/2026,9
Goma,24/05/2026,1
Katwa,24/05/2026,4
Butembo,24/05/2026,3
Bambu,24/05/2026,2
Nizi,24/05/2026,2
Kilo,24/05/2026,1
Miti Murhesa,24/05/2026,1
Aru,24/05/2026,1
Oicha,24/05/2026,1
Kalunguta,24/05/2026,1
Mongbwalu,25/05/2026,19
Rwampara,25/05/2026,32
Bunia,25/05/2026,24
Nyankunde,25/05/2026,9
Goma,25/05/2026,1
Butembo,25/05/2026,3
Bambu,25/05/2026,0
Nizi,25/05/2026,2
Kilo,25/05/2026,1
Miti Murhesa,25/05/2026,1
Aru,25/05/2026,1
Oicha,25/05/2026,1
Kalunguta,25/05/2026,1
Kyondo,25/05/2026,1
Mongbwalu,26/05/2026,20
Rwampara,26/05/2026,33
Bunia,26/05/2026,36
Nyankunde,26/05/2026,10
Goma,26/05/2026,1
Katwa,25/05/2026,4
Butembo,26/05/2026,3
Bambu,26/05/2026,0
Nizi,26/05/2026,2
Kilo,26/05/2026,1
Miti Murhesa,26/05/2026,1
Aru,26/05/2026,1
Oicha,26/05/2026,1
Kalunguta,26/05/2026,1
Karisimbi,26/05/2026,0
Damas,26/05/2026,0
Fataki,26/05/2026,0
Mambasa,26/05/2026,0
Rimba,26/05/2026,0
Kyondo,26/05/2026,1
Mongbwalu,27/05/2026,20
Rwampara,27/05/2026,33
Bunia,27/05/2026,37
Nyankunde,27/05/2026,10
Goma,27/05/2026,1
Katwa,27/05/2026,4
Butembo,27/05/2026,5
Bambu,27/05/2026,0
Nizi,27/05/2026,2
Kilo,27/05/2026,1
Miti Murhesa,27/05/2026,1
Aru,27/05/2026,1
Oicha,27/05/2026,2
Kalunguta,27/05/2026,2
Karisimbi,27/05/2026,0
Damas,27/05/2026,0
Fataki,27/05/2026,0
Mambasa,27/05/2026,0
Rimba,27/05/2026,0
Kyondo,27/05/2026,ND
Aru,28/05/2026,2
Bambu,28/05/2026,2
Bunia,28/05/2026,80
Kilo,28/05/2026,2
Mongbwalu,28/05/2026,47
Nizi,28/05/2026,2
Nyankunde,28/05/2026,19
Rwampara,28/05/2026,65
Mangala,28/05/2026,1
Damas,28/05/2026,1
Aungba,28/05/2026,1
Gety,28/05/2026,1
Komanda,28/05/2026,1
Jiba,28/05/2026,ND
Lita,28/05/2026,1
Butembo,28/05/2026,5
Goma,28/05/2026,1
Katwa,28/05/2026,4
Karisimbi,28/05/2026,0
Kyondo,28/05/2026,1
Oicha,28/05/2026,1
Kalunguta,28/05/2026,1
Beni,28/05/2026,2
Miti Murhesa,28/05/2026,3
Aru,29/05/2026,2
Bambu,29/05/2026,2
Bunia,29/05/2026,80
Kilo,29/05/2026,2
Mongbwalu,29/05/2026,47
Nizi,29/05/2026,2
Nyankunde,29/05/2026,19
Rwampara,29/05/2026,65
Mangala,29/05/2026,1
Damas,29/05/2026,1
Aungba,29/05/2026,1
Gety,29/05/2026,1
Komanda,29/05/2026,1
Jiba,29/05/2026,ND
Lita,29/05/2026,1
Butembo,29/05/2026,5
Goma,29/05/2026,1
Katwa,29/05/2026,4
Karisimbi,29/05/2026,0
Kyondo,29/05/2026,1
Oicha,29/05/2026,1
Kalunguta,29/05/2026,1
Manguredjipa,29/05/2026,0
Beni,29/05/2026,2
Miti Murhesa,29/05/2026,3
Aru,30/05/2026,2
Bambu,30/05/2026,2
Bunia,30/05/2026,80
Kilo,30/05/2026,2
Mongbwalu,30/05/2026,47
Nizi,30/05/2026,2
Nyankunde,30/05/2026,19
Rwampara,30/05/2026,65
Mangala,30/05/2026,1
Damas,30/05/2026,1
Aungba,30/05/2026,1
Gety,30/05/2026,1
Komanda,30/05/2026,1
Jiba,30/05/2026,ND
Lita,30/05/2026,1
Butembo,30/05/2026,5
