,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524,pop_count,pop_density
contacts_seen,1.0,0.0860201121512189,0.06795538024655878,0.05018008857322342,0.380346478046641,-0.28644073945145115,-0.3438601206076009,0.16108860696629138,-0.3039012038042665,-0.7417113451051565,-0.1206053653807445,0.05861331734952182,0.49547452071959125,-0.40334896825446653,0.5960846190088995,-0.24589129224926407,0.04628410129954844,-0.2837208595203256,0.1295172570815069,0.130489085546924,0.17193908774499786,0.17193908774499786,0.130489085546924,0.1295172570815069,-0.34719085105002156,,,-0.18146285077075128,-0.25526279310573496,-0.35923323650565914,-0.35923323650565936,-0.3592332365056593,-0.35923323650565936,-0.3592332365056592,-0.12153804649701765,-0.06411179466726895
cumulative_confirmed_cases,0.0860201121512189,1.0,0.8099508383353154,0.7677676721739783,0.6879482183786003,0.7500860301751148,0.7324030048874971,-0.0256617589787858,0.14478699232437303,0.11229789451817249,0.6518038270043177,0.358909716300535,0.46935009504607583,0.24425905750416269,0.02664678869460947,0.22280897975970318,0.30396231336176066,0.14460538699831904,0.6185799782174999,0.6068882119738209,0.3262440312137955,0.3262440312137955,0.6068882119738209,0.6185799782174999,-0.2045786115483719,-0.007892360753782383,-0.00014202664286938133,-0.07490557514449966,-0.07173314859053077,0.11673135644054214,0.13762240000845355,0.14012406359989393,0.14104324665986043,0.14026301029034227,0.15314906240632362,-0.061260080770615385
cumulative_confirmed_deaths,0.06795538024655878,0.8099508383353154,1.0,0.8278716532605375,0.42489743115073614,0.46729260054236305,0.4648199274951274,-0.027083132755594846,-0.2718563883427567,-0.29998567950736676,0.6213254005931965,0.23302773180422057,0.661641930659248,-0.06069505786069067,-0.09040527978306856,0.14399817470506585,0.18219414153770214,0.2637926457462609,0.9846546425394931,0.984489054033744,0.9007546982220901,0.9007546982220901,0.984489054033744,0.9846546425394931,-0.11259266041319815,-0.10844849110155944,-0.11638788208728279,0.044473267675944714,0.049117078141781484,-0.13358734131459393,-0.1310987485069953,-0.1276554185145352,-0.12475402640905972,-0.12132606132515725,0.16932088485486146,-0.019165158846078903
cumulative_contacts_isolated,0.05018008857322342,0.7677676721739783,0.8278716532605375,1.0,0.631258011283146,0.4260321695151942,0.3301580588909785,0.1800996990341662,0.5710010126551552,0.6875547173719977,0.13767958342210126,0.6158012047644074,0.05560502403174893,0.19858618956098587,0.1655633076921476,0.4787901910393141,0.3154902350116602,0.20536733308507457,0.8495247223103163,0.8374430916434424,0.5006392418446793,0.5006392418446793,0.8374430916434424,0.8495247223103163,-0.353885471172819,-0.49932013690802063,-0.5017589392110644,0.5567779315235073,0.48052889860630194,-0.13080340115926892,-0.0909358989559942,-0.07576515877116893,-0.0701384218970743,-0.0635263838005874,0.5717284044278902,0.5087669077972289
cumulative_contacts_traced,0.380346478046641,0.6879482183786003,0.42489743115073614,0.631258011283146,1.0,0.5383088312212267,0.5499004460460177,-0.08507434146129976,0.4987084799994157,0.5123312887810447,0.25909476299003553,0.16759984972289566,0.4035153112983468,0.3025392081809631,0.25335784128174427,0.15234062547481528,0.22589465839676165,0.03496961545237767,0.44343945472100926,0.4329649714123801,0.22703624065212452,0.22703624065212452,0.4329649714123801,0.44343945472100926,-0.22205301629753088,0.2789488089903469,0.25413464177441497,-0.08035771303482334,-0.046470828130903155,0.1841753301209045,0.21082425597796586,0.21992062371838092,0.22423199614939407,0.23009683236529976,0.06684068373685961,-0.09180840518438199
cumulative_suspected_cases,-0.28644073945145115,0.7500860301751148,0.46729260054236305,0.4260321695151942,0.5383088312212267,1.0,0.987000557101561,0.25648379652172093,0.3421776196284001,0.36224396740779247,0.4150797775060136,0.17477479577286217,0.1000765100312196,0.08149774266197589,-0.04472928321169311,0.27061951329186523,0.4239542401892779,0.3100455631797436,0.3451458745671046,0.33164043699035356,0.11025427607440533,0.11025427607440533,0.33164043699035356,0.3451458745671046,-0.22322251605181367,0.20742834855513803,0.2024837721629649,-0.059497140090659574,-0.03943864279270616,0.1620098883121651,0.1932678032539205,0.20025353072560376,0.2038728541300288,0.204662016073055,0.07953907669947102,-0.16418938228439536
cumulative_suspected_deaths,-0.3438601206076009,0.7324030048874971,0.4648199274951274,0.3301580588909785,0.5499004460460177,0.987000557101561,1.0,0.2068696229469627,0.2777805538055674,0.25707838230603247,0.39818387945859174,0.08072357942874789,0.11217467592660432,0.06669407459202845,-0.0974540581542077,0.21815894424817966,0.4215406246792453,0.3049553516177583,0.2928400341551643,0.2889863386879219,0.25164764853148397,0.25164764853148397,0.2889863386879219,0.2928400341551643,-0.2156897671821655,0.665413068271056,0.6596785519024719,-0.1491482972052135,-0.1255458284965996,0.287822705300257,0.31838720254407854,0.3251848586636981,0.32823248664540905,0.3295446184155358,-0.01893931012296941,-0.22549813596502072
hosp_escaped,0.16108860696629138,-0.0256617589787858,-0.027083132755594846,0.1800996990341662,-0.08507434146129976,0.25648379652172093,0.2068696229469627,1.0,0.09118277485026197,0.248279835644034,0.19458561757889575,0.7281945076557759,-0.02679990690455303,-0.044665761543667644,-0.06967118718137828,0.3378050797813148,0.3490040422985875,-0.13105024357076445,0.36523275239459174,0.34647758671580303,-0.09004205319266081,-0.09004205319266081,0.34647758671580303,0.36523275239459174,-0.1189843121128956,0.447213595499958,0.44721359549995804,0.14975281241640168,0.1972321918737422,0.4190719562741411,0.39768121756544667,0.3996602412633011,0.4002392347967297,0.4066613261720448,0.1443977823733045,0.21344389845187095
hospitalised,-0.3039012038042665,0.14478699232437303,-0.2718563883427567,0.5710010126551552,0.4987084799994157,0.3421776196284001,0.2777805538055674,0.09118277485026197,1.0,0.9750903305166331,0.029417131462313714,0.4667385937439625,-0.22349859905721606,0.7633780918942908,0.2672477289811125,0.611353257475127,0.4529641508994669,0.4069426081794259,0.1735514431823728,0.15477029181257923,-0.25003648186967814,-0.25003648186967814,0.15477029181257923,0.1735514431823728,-0.47322240474084115,0.6123724356957945,0.6123724356957947,0.6042960541947037,0.5884289855745072,0.19414264302268353,0.2538552101092415,0.24862294285701564,0.24708170574827823,0.22965814991607958,0.26929137753363586,0.34759921690118756
in_bed_previous_day,-0.7417113451051565,0.11229789451817249,-0.29998567950736676,0.6875547173719977,0.5123312887810447,0.36224396740779247,0.25707838230603247,0.248279835644034,0.9750903305166331,1.0,-0.1353799528004948,0.6996098567940333,-0.1946901838664059,0.7055578218673103,0.5390395517626799,0.6556336370628048,0.5060743756849977,0.29108390101320647,0.9170283735945427,0.91166600155273,-0.35514790064348206,-0.35514790064348206,0.91166600155273,0.9170283735945427,-0.5801711065442008,0.6123724356957946,0.6123724356957946,0.46999241235242156,0.4650931039051945,0.2769599170453511,0.33136662250772686,0.326596251798074,0.3251912330845807,0.30931197614687705,0.16731870957098316,0.44726472113429216
