nom,date,min_minutes_to_active_zone
Wembo Nyama,2026-05-15,1616.612
Kole,2026-05-15,1886.147
Pania Mutombo,2026-05-15,1755.86
Minga,2026-05-15,1739.38
Lusambo,2026-05-15,1893.979
Dikungu,2026-05-15,1732.255
Vanga Kete,2026-05-15,1700.768
Lodja,2026-05-15,1698.035
Omendjadi,2026-05-15,1744.7
Djalo Ndjeka,2026-05-15,1591.77
Katako Kombe,2026-05-15,1467.933
Bena Dibele,2026-05-15,1796.797
Kamiji,2026-05-15,1813.684
Citenge,2026-05-15,1734.97
Miabi,2026-05-15,1803.945
Ngandajika,2026-05-15,1740.287
Mulumba,2026-05-15,1723.729
Tshilenge,2026-05-15,1731.11
Cilundu,2026-05-15,1801.052
Lubao,2026-05-15,1450.178
Kalonda Est,2026-05-15,1614.09
Kabinda,2026-05-15,1616.086
Ludimbi Lukula,2026-05-15,1625.74
Kalambayi Kabanga,2026-05-15,1717.618
Makota,2026-05-15,1818.469
Mweneditu,2026-05-15,1815.89
Wikong,2026-05-15,1903.969
Luputa,2026-05-15,1847.801
Kanda Kanda,2026-05-15,1778.549
Bonzola,2026-05-15,1747.544
Dibindi,2026-05-15,1743.772
Kansele,2026-05-15,1746.31
Muya,2026-05-15,1749.062
Diulu,2026-05-15,1748.877
Bipemba,2026-05-15,1751.112
Mpokolo,2026-05-15,1754.586
Nzaba,2026-05-15,1753.988
Kabeya Kamwanga,2026-05-15,1810.907
Mukumbi,2026-05-15,1785.63
Lukelenge,2026-05-15,1749.027
Tshishimbi,2026-05-15,1764.155
Lubilanji,2026-05-15,1744.398
Kamana,2026-05-15,1476.406
Kasansa,2026-05-15,1744.27
Bibanga,2026-05-15,1683.225
Kalenda,2026-05-15,1884.318
Tshofa,2026-05-15,1536.915
Pimu,2026-05-15,1421.588
Nyanga,2026-05-15,2238.525
Kalonda Ouest,2026-05-15,2185.958
Kamonia,2026-05-15,2233.12
Mutena,2026-05-15,2197.056
Banga Lubaka,2026-05-15,2319.078
Kamwesha,2026-05-15,2127.338
Mweka,2026-05-15,2173.428
Moba,2026-05-15,1657.762
Bogosenubea,2026-05-15,1654.192
Muanda,2026-05-15,3543.232
Kitona,2026-05-15,3568.97
Boma,2026-05-15,3457.252
Boma Bungu,2026-05-15,3453.497
