nom,date,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524,pop_count,pop_density
Adi,2026-05-22,,,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,86.622,0.001032,0.001081,0.0003277,0.0001266,0.02,0.03,0.03,0.04,0.05,285382.989763905,264.705086454213
Aru,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,718.0,718.0,0.0,0.0,718.0,718.0,196.427,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aru,2026-05-22,,1.0,,,0.0,3.0,,,,,,,,,,,,1.0,,0.0,,,,3.0,0.0,1010.0,1143.0,133.0,133.0,1143.0,1010.0,0.0,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aru,2026-05-23,,1.0,,1.0,0.0,4.0,1.0,0.0,2.0,2.0,,,,,,,,,1.0,,0.0,0.0,0.0,1.0,1.0,1010.0,1143.0,133.0,133.0,1143.0,1010.0,0.0,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aru,2026-05-24,,1.0,,,0.0,4.0,1.0,0.0,2.0,2.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aru,2026-05-25,,1.0,,,0.0,4.0,1.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,0.0,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aru,2026-05-26,,1.0,,,0.0,4.0,1.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,0.0,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aru,2026-05-27,,1.0,,,0.0,4.0,1.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aru,2026-05-28,,2.0,1.0,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aru,2026-05-29,,2.0,1.0,,0.0,4.0,1.0,0.0,2.0,2.0,,,,,,,,0.0,,107.0,,0.0,,,,,,,,,,0.0,0.01857,0.01953,0.005552,0.006326,0.24,0.37,0.48,0.58,0.61,329667.250619862,339.239633491485
Aungba,2026-05-28,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.416,0.008901,0.008864,0.002858,0.002581,0.1,0.17,0.25,0.31,0.34,216786.701892523,171.063075277196
Aungba,2026-05-29,,1.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,43.416,0.008901,0.008864,0.002858,0.002581,0.1,0.17,0.25,0.31,0.34,216786.701892523,171.063075277196
Bambu,2026-05-20,,1.0,,,128.0,2.0,,,,,,,,,,,,1.0,,128.0,,,,2.0,,,,,,,,0.0,0.8123,0.7674,0.003188,0.003387,6.45,8.39,9.99,11.15,11.98,136150.702150578,293.755113499808
Bambu,2026-05-21,,1.0,0.0,,,2.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.8123,0.7674,0.003188,0.003387,6.45,8.39,9.99,11.15,11.98,136150.702150578,293.755113499808
