nom,date,cumulative_confirmed_cases,cumulative_suspected_cases,cumulative_suspected_deaths,new_confirmed_cases,new_suspected_cases,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__outflow_20260524,pop_count,pop_density,rt_proxy,rt_proxy_is_imputed
Aru,2026-05-25,1.0,4.0,1.0,0.0,0.0,196.427,0.01857,0.005552,0.61,329667.250619862,339.239633491485,1.0,True
Aru,2026-05-26,1.0,4.0,1.0,0.0,0.0,99.533,0.01857,0.005552,0.61,329667.250619862,339.239633491485,1.0,True
Bambu,2026-05-21,1.0,2.0,0.0,0.0,0.0,26.115,0.8123,0.003188,11.98,136150.702150578,293.755113499808,1.0,True
Bambu,2026-05-22,1.0,4.0,0.0,0.0,2.0,26.115,0.8123,0.003188,11.98,136150.702150578,293.755113499808,1.0,True
Bambu,2026-05-23,0.0,6.0,2.0,0.0,2.0,26.115,0.8123,0.003188,11.98,136150.702150578,293.755113499808,1.0,True
Bambu,2026-05-26,0.0,10.0,2.0,0.0,4.0,26.115,0.8123,0.003188,11.98,136150.702150578,293.755113499808,3.0,False
Bambu,2026-05-29,2.0,14.0,3.0,0.0,8.0,26.115,0.8123,0.003188,11.98,136150.702150578,293.755113499808,3.0,False
Bunia,2026-05-18,6.0,61.0,18.0,6.0,53.0,41.63,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.0,True
Bunia,2026-05-19,6.0,90.0,23.0,0.0,29.0,41.63,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.0,True
Bunia,2026-05-20,11.0,125.0,31.0,5.0,35.0,41.318,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.0,True
Bunia,2026-05-21,15.0,166.0,34.0,6.0,41.0,30.602,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.0,True
Bunia,2026-05-22,23.0,227.0,42.0,8.0,61.0,30.602,0.0,0.08423,0.0,509059.964558102,4336.1457340514,3.1320754716981134,False
Bunia,2026-05-23,24.0,249.0,48.0,1.0,22.0,30.602,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.9390243902439024,False
Bunia,2026-05-25,24.0,270.0,55.0,0.0,21.0,30.602,0.0,0.08423,0.0,509059.964558102,4336.1457340514,0.6582278481012658,False
Bunia,2026-05-26,36.0,279.0,55.0,12.0,0.0,30.602,0.0,0.08423,0.0,509059.964558102,4336.1457340514,0.3132530120481928,False
Bunia,2026-05-29,80.0,268.0,57.0,21.0,19.0,30.602,0.0,0.08423,0.0,509059.964558102,4336.1457340514,0.2692307692307692,False
Butembo,2026-05-20,1.0,7.0,0.0,0.0,6.0,9.252,0.03058,0.0,0.84,289377.881656445,3648.62216219997,1.0,True
Butembo,2026-05-21,2.0,7.0,0.0,1.0,0.0,9.252,0.03058,0.0,0.84,289377.881656445,3648.62216219997,1.0,True
